Product ID1,Product ID2,Category,Product Name,Price,Details,On Promo,Original Price,Promo Date
p10760,254791,Grocery Range Craft Beer,Ninth Wave New World Pale Ale 5.4%,€ 9.99,The White Hag,No,,
p2853,203535,Grocery Range Whiskey,Queen Margot Blended Scotch Whisky 40%,€ 14.99,,No,,
p2323,200615,Grocery Range Whiskey,Western Gold Bourbon Whiskey 40%,€ 14.99,,No,,
p12478,232122,Grocery Range Whiskey,Queen Margot Blended Scotch Whisky 40%,€ 18.99,,No,,
p3739,210203,Grocery Range Red Wines,Chilean Cabernet Sauvignon 13.5%,€ 5.99,Cimarosa,No,,
p8781,251741,Grocery Range Whiskey,Jameson Irish Whiskey 40%,€ 25.00,,No,,
p4610,214331,Grocery Range Gins,Gin & Diet Tonic 5%,€ 1.49,Finton's,No,,
p10753,254493,Grocery Range Craft Beer,Citrus IPA 5.5%,€ 2.79,Brú,No,,
p2861,233890,Grocery Range Red Wines,Chile Merlot Reserva Privada 12.5%,€ 7.99,Viajero,No,,
p10762,254494,Grocery Range Craft Beer,Off The Hook Pils 4.5%,€ 2.79,Brú,No,,
p7200,209751,Grocery Range Whiskey,Bushmills Irish Whiskey 40%,€ 23.00,,No,,
p9882,254188,Grocery Range Craft Beer,Chieftain IPA 5.5%,€ 10.00,Franciscan Well,No,,
p7198,209744,Grocery Range Gins,Gordon's London Dry Gin 37.5%,€ 22.00,,No,,
p7727,238894,Christmas Drinks,Mojito Cocktail 5%,€ 1.49,Sunrise,No,,
p3310,212004,Grocery Range Craft Beer,Irish Craft Pale Ale 4.5%,€ 1.99,The Crafty Brewing Company,No,,
p6450,237952,Christmas Drinks,Sauvignon Blanc Western Cape 13%,€ 7.99,,No,,
p3751,211125,Grocery Range Red Wines,Chianti DOCG Riserva  13%,€ 9.99,Chianti,No,,
p16024,260310,Christmas Drinks,Heineken Alcohol Free Lager 0.0%,€ 5.99,,No,,
p9313,22643,Christmas Drinks,Champagne Premium Cuvée Brut 12%,€ 29.99,Bissinger,Yes,,From 01.11
p16076,,Christmas Drinks,Prosecco Spumante Valdobbiadene 11%,€ 12.99,,No,,
p16031,260379,Christmas Drinks,Kopparberg Alcohol Free Strawberry & Lime Cider 0.0%,€ 4.49,,No,,
p2864,235925,Christmas Drinks,Perlenbacher Non Alcoholic Lager 0%,€ 3.99,,No,,
p4911,238874,Grocery Range Rums,Original Rum & Cola 5%,€ 1.49,,No,,
p16079,,Christmas Drinks,Prosecco Spumante DOC Magnum,€ 19.99,,Yes,,From 29.11
p5417,249003,Grocery Range Beef,Irish Angus Sirloin Steaks,€ 6.99,Deluxe,No,,
p14422,211307,Grocery Range Red Wines,Rioja Doca Reserva,€ 8.49,Cepa Lebrel,No,,
p3674,227320,Grocery Range Winemakers Selection,Australian Shiraz Baros 13.5%,€ 8.84,Winemaker's Selection,No,,
p16060,231756,Christmas Drinks,Triple Sec 25%,€ 12.99,,Yes,,From 08.11
p16061,,Christmas Drinks,Creme de Cassis de Dijon 15%,€ 9.99,,Yes,,From 08.11
p16085,248809,Christmas Drinks,Winemaker's Selection Australian Premium Chardonnay Limestone Coast 12.5%,€ 7.99,,No,,
p16065,254793,Christmas Drinks,Torres Natureo White Wine 0%,€ 6.99,,No,,
p2854,203111,Christmas Drinks,Hampstead Premium Gin 40%,€ 12.99,,No,,
p16064,,Christmas Drinks,Deluxe Irish Cream Liqueur Trio Gift Set 15%,€ 10.00,,Yes,,From 01.11
p16063,,Christmas Drinks,Deluxe Irish Cream Liqueur Strawberries & Cream 15%,€ 10.00,,Yes,,From 01.11
p12478,232122,Grocery Range Whiskey,Queen Margot Blended Scotch Whisky 40%,€ 18.99,,No,,
p16081,216619,Christmas Drinks,Wild Burrow Wild Burrow Irish Gin 40%,€ 24.99,,No,,
p16074,239960,Christmas Drinks,Hampstead Pink Gin 40%,€ 12.99,,No,,
p2877,226812,Christmas Drinks,Korol Premium Grain Vodka 40%,€ 10.00,,No,,
p4563,236633,Christmas Drinks,Ribera del Duero Reserva DO 10.5%,€ 11.99,,No,,
p16105,262709,Christmas Drinks,Primitivo di Manduria DOC,€ 9.99,,Yes,,From 04.11
p2332,,Christmas Drinks,Armilar Ruby Port 19%,€ 7.99,,No,,
p8781,251741,Grocery Range Whiskey,Jameson Irish Whiskey 40%,€ 25.00,,No,,
p4888,234167,Grocery Range White Wines,South African Premium Fairtrade Chenin Blanc 13%,€ 7.99,Winemaker's Selection,No,,
p7733,203563,Christmas Drinks,Deluxe Irish Cream Liqueur 17%,€ 9.49,,No,,
p3390,213629,Christmas Drinks,Rêverie Brandy X.O. 40%,€ 10.00,,No,,
p3670,202199,Grocery Range Red Wines,Côtes du Rhône Villages AOC 13.5%,€ 7.49,,No,,
p2842,209546,Grocery Range Sparkling Wines,Cava Brut DO 11.5%,€ 10.99,Arestel,No,,
p16075,225711,Christmas Drinks,Winemaker's Selection Australian Cabernet Sauvignon Coonawarra 13%,€ 5.32,,No,,
p3674,227320,Grocery Range Winemakers Selection,Australian Shiraz Baros 13.5%,€ 8.84,Winemaker's Selection,No,,
p3755,217723,Grocery Range White Wines,Branco Vinho Verde DOC 10%,€ 6.87,Portal do Minho,No,,
p4911,238874,Grocery Range Rums,Original Rum & Cola 5%,€ 1.49,,No,,
p3646,217998,Grocery Range White Wines,Austrian Gruener Veltliner Reserved 13%,€ 7.37,,No,,
p3678,209858,Grocery Range White Wines,Australian Chardonnay 13%,€ 5.20,Cimarosa,No,,
p2837,206788,Grocery Range White Wines,Rioja Blanco DOCA 12%,€ 7.99,Cepa Lebrel,No,,
p3763,211530,Grocery Range White Wines,Pinot Grigio Garda Bianco Dry 12%,€ 6.88,,No,,
p3838,202549,Grocery Range Sparkling Wines,Prosecco Treviso Frizzante DOC 10.5%,€ 7.99,Allini,No,,
p3540,211452,Grocery Range Sparkling Wines,Champagne Brut 12.5%,€ 16.49,Comte de Senneval,Yes,WAS €19.99,From 25.03
p3771,211161,Grocery Range White Wines,Chardonnay Pays d'OC IGP 12%,€ 4.49,Chevalier de Fauvert,No,,
p3555,207607,Grocery Range White Wines,Spanish White Wine 11%,€ 3.92,Conde Noble,No,,
p4888,234167,Grocery Range White Wines,South African Premium Fairtrade Chenin Blanc 13%,€ 7.99,Winemaker's Selection,No,,
p5190,218477,Grocery Range White Wines,Mosel Riesling 10.5%,€ 7.86,,No,,
p3848,236984,Grocery Range White Wines,Chilean Chardonnay 13%,€ 22.62,Cimarosa,No,,
p3766,202195,Grocery Range White Wines,Soave Classico DOC 11.5%,€ 5.89,,No,,
p3784,202193,Grocery Range White Wines,Pinot Grigio delle Venezie DOC 13%,€ 5.89,Giulio Pasotti,No,,
p3770,234245,Grocery Range White Wines,Sauvignon Blanc Val de Loire IGP 11.5%,€ 8.84,,No,,
p3552,211112,Grocery Range White Wines,Chilean Chardonnay Reserva 12.5%,€ 7.86,Cimarosa,No,,
p3772,211301,Grocery Range White Wines,Macon Villages Blanc AOP 13%,€ 8.99,Valley Spire,No,,
